"Timestamp","Temperature_Celsius(℃)","Relative_Humidity(%)"
"2022-08-10 15:39:02","28.9","46"
"2022-08-10 16:39:02","28.8","46"
"2022-08-10 17:39:02","28.8","45"
"2022-08-10 18:39:02","28.8","45"
"2022-08-10 19:39:02","28.7","45"
"2022-08-10 20:39:03","28.2","42"
"2022-08-10 21:39:03","28.0","42"
"2022-08-10 22:39:11","28.3","42"
"2022-08-10 23:39:16","28.3","45"
"2022-08-11 00:39:27","28.2","47"
"2022-08-11 01:39:28","28.2","46"
"2022-08-11 02:39:36","28.3","46"
"2022-08-11 03:39:40","28.3","46"
"2022-08-11 04:39:40","28.3","45"
"2022-08-11 05:39:40","28.3","45"
"2022-08-11 06:39:40","28.4","44"
"2022-08-11 07:39:40","28.7","43"
"2022-08-11 08:39:40","28.9","43"
"2022-08-11 09:39:40","29.1","42"
"2022-08-11 10:39:48","29.2","42"
"2022-08-11 11:39:48","29.2","42"
"2022-08-11 12:39:48","29.3","43"
"2022-08-11 13:39:51","29.4","43"
"2022-08-11 14:39:51","29.4","40"
"2022-08-11 15:39:51","29.3","38"
"2022-08-11 16:39:51","29.3","37"
"2022-08-11 17:39:51","29.3","37"
"2022-08-11 18:39:51","29.3","36"
"2022-08-11 19:39:51","29.2","36"
"2022-08-11 20:39:51","29.2","36"
"2022-08-11 21:39:52","29.0","38"
"2022-08-11 22:39:55","28.7","37"
"2022-08-11 23:39:56","27.9","39"
"2022-08-12 00:39:03","27.4","38"
"2022-08-12 01:39:15","27.3","42"
"2022-08-12 02:39:16","28.6","42"
"2022-08-12 03:39:28","28.7","42"
"2022-08-12 04:39:28","28.7","43"
"2022-08-12 05:39:28","28.8","43"
"2022-08-12 06:39:28","28.8","42"
"2022-08-12 07:39:28","29.1","42"
"2022-08-12 08:39:28","29.3","41"
"2022-08-12 09:39:28","29.5","41"
"2022-08-12 10:39:35","29.6","41"
"2022-08-12 11:39:35","29.7","41"
"2022-08-12 12:39:35","29.8","43"
"2022-08-12 13:39:35","29.8","43"
"2022-08-12 14:39:35","29.8","43"
"2022-08-12 15:39:35","29.8","42"
"2022-08-12 16:39:35","29.7","42"
"2022-08-12 17:39:35","29.7","42"
"2022-08-12 18:39:35","29.7","42"
"2022-08-12 19:39:35","29.7","42"
"2022-08-12 20:39:35","29.6","42"
"2022-08-12 21:39:36","29.6","41"
"2022-08-12 22:39:43","28.9","36"
"2022-08-12 23:39:43","28.8","37"
"2022-08-13 00:39:52","27.9","38"
"2022-08-13 01:39:52","27.7","38"
"2022-08-13 02:39:00","27.9","38"
"2022-08-13 03:39:04","28.7","40"
"2022-08-13 04:39:04","28.8","39"
"2022-08-13 05:39:04","28.9","38"
"2022-08-13 06:39:04","29.0","37"
"2022-08-13 07:39:04","31.3","36"
"2022-08-13 08:39:04","30.5","35"
"2022-08-13 09:39:04","30.2","37"
"2022-08-13 10:39:07","29.3","34"
"2022-08-13 11:39:07","28.8","32"
"2022-08-13 12:39:11","28.7","32"
"2022-08-13 13:39:11","28.7","31"
"2022-08-13 14:39:12","28.7","31"
"2022-08-13 15:39:12","29.4","33"
"2022-08-13 16:39:12","29.5","35"
