# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
"# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result, these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>."
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 344         4.447       51.962      -4.30       Rotterdam   
# T         : Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# STN,YYYYMMDD,H,    T
  344,20220801,    1,  184
  344,20220801,    2,  180
  344,20220801,    3,  179
  344,20220801,    4,  178
  344,20220801,    5,  179
  344,20220801,    6,  186
  344,20220801,    7,  180
  344,20220801,    8,  183
  344,20220801,    9,  194
  344,20220801,   10,  206
  344,20220801,   11,  209
  344,20220801,   12,  222
  344,20220801,   13,  221
  344,20220801,   14,  231
  344,20220801,   15,  226
  344,20220801,   16,  234
  344,20220801,   17,  230
  344,20220801,   18,  219
  344,20220801,   19,  188
  344,20220801,   20,  181
  344,20220801,   21,  181
  344,20220801,   22,  178
  344,20220801,   23,  177
  344,20220801,   24,  175
  344,20220802,    1,  175
  344,20220802,    2,  169
  344,20220802,    3,  173
  344,20220802,    4,  162
  344,20220802,    5,  165
  344,20220802,    6,  179
  344,20220802,    7,  196
  344,20220802,    8,  218
  344,20220802,    9,  229
  344,20220802,   10,  232
  344,20220802,   11,  243
  344,20220802,   12,  251
  344,20220802,   13,  260
  344,20220802,   14,  257
  344,20220802,   15,  262
  344,20220802,   16,  255
  344,20220802,   17,  244
  344,20220802,   18,  233
  344,20220802,   19,  223
  344,20220802,   20,  216
  344,20220802,   21,  210
  344,20220802,   22,  206
  344,20220802,   23,  205
  344,20220802,   24,  204
  344,20220803,    1,  200
  344,20220803,    2,  195
  344,20220803,    3,  187
  344,20220803,    4,  182
  344,20220803,    5,  186
  344,20220803,    6,  195
  344,20220803,    7,  197
  344,20220803,    8,  216
  344,20220803,    9,  226
  344,20220803,   10,  241
  344,20220803,   11,  255
  344,20220803,   12,  266
  344,20220803,   13,  279
  344,20220803,   14,  283
  344,20220803,   15,  279
  344,20220803,   16,  276
  344,20220803,   17,  270
  344,20220803,   18,  268
  344,20220803,   19,  245
  344,20220803,   20,  222
  344,20220803,   21,  221
  344,20220803,   22,  204
  344,20220803,   23,  202
  344,20220803,   24,  187
  344,20220804,    1,  193
  344,20220804,    2,  186
  344,20220804,    3,  184
  344,20220804,    4,  183
  344,20220804,    5,  184
  344,20220804,    6,  193
  344,20220804,    7,  218
  344,20220804,    8,  231
  344,20220804,    9,  242
  344,20220804,   10,  239
  344,20220804,   11,  248
  344,20220804,   12,  257
  344,20220804,   13,  256
  344,20220804,   14,  252
  344,20220804,   15,  244
  344,20220804,   16,  226
  344,20220804,   17,  216
  344,20220804,   18,  211
  344,20220804,   19,  201
  344,20220804,   20,  194
  344,20220804,   21,  190
  344,20220804,   22,  186
  344,20220804,   23,  185
  344,20220804,   24,  184
  344,20220805,    1,  178
  344,20220805,    2,  177
  344,20220805,    3,  172
  344,20220805,    4,  156
  344,20220805,    5,  155
  344,20220805,    6,  179
  344,20220805,    7,  191
  344,20220805,    8,  199
  344,20220805,    9,  183
  344,20220805,   10,  186
  344,20220805,   11,  192
  344,20220805,   12,  207
  344,20220805,   13,  212
  344,20220805,   14,  201
  344,20220805,   15,  202
  344,20220805,   16,  192
  344,20220805,   17,  187
  344,20220805,   18,  175
  344,20220805,   19,  159
  344,20220805,   20,  140
  344,20220805,   21,  112
  344,20220805,   22,  113
  344,20220805,   23,  105
  344,20220805,   24,  108
  344,20220806,    1,  101
  344,20220806,    2,  101
  344,20220806,    3,  103
  344,20220806,    4,   96
  344,20220806,    5,  103
  344,20220806,    6,  135
